session_id,semantic_event_id,start_ms,end_ms,speaking_rate_chars_per_sec,pause_before_ms,pause_after_ms,volume_rms_avg,volume_dbfs_avg,peak_dbfs_max,volume_change,emphasis_label,prosody_status,audio_evidence_refs,completion_status
latest_live_05,latest_live_05-SEM0024-000000762240,762240,773640,6.47,200,760,0.261848,-11.64,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000110;latest_live_05-A000111;latest_live_05-A000112;latest_live_05-A000113,passed
latest_live_05,latest_live_05-SEM0025-000000774400,774400,801950,5.4,320,550,0.257739,-11.8,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000114;latest_live_05-A000115;latest_live_05-A000116;latest_live_05-A000117,passed
latest_live_05,latest_live_05-SEM0026-000000802390,802390,822430,6.06,320,520,0.28219,-11.0,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000118;latest_live_05-A000119;latest_live_05-A000120;latest_live_05-A000121;latest_live_05-A000122,passed
latest_live_05,latest_live_05-SEM0027-000000822950,822950,841390,6.19,280,440,0.277981,-11.13,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000123;latest_live_05-A000124;latest_live_05-A000125;latest_live_05-A000126,passed
latest_live_05,latest_live_05-SEM0028-000000841790,841790,871500,6.25,200,550,0.277126,-11.16,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000127;latest_live_05-A000128;latest_live_05-A000129;latest_live_05-A000130;latest_live_05-A000131,passed
latest_live_05,latest_live_05-SEM0029-000000871860,871860,882810,6.73,120,480,0.255248,-11.87,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000132;latest_live_05-A000133;latest_live_05-A000134;latest_live_05-A000135,passed
latest_live_05,latest_live_05-SEM0030-000000883290,883290,908950,6.44,280,400,0.270744,-11.35,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000136;latest_live_05-A000137;latest_live_05-A000138;latest_live_05-A000139,passed
latest_live_05,latest_live_05-SEM0031-000000909270,909270,933790,5.86,200,320,0.270473,-11.36,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000140;latest_live_05-A000141;latest_live_05-A000142;latest_live_05-A000143,passed
latest_live_05,latest_live_05-SEM0032-000000934110,934110,951590,6.34,240,320,0.266274,-11.5,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000144;latest_live_05-A000145;latest_live_05-A000146;latest_live_05-A000147,passed
latest_live_05,latest_live_05-SEM0033-000000951890,951890,977450,5.8,120,360,0.265854,-11.51,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000148;latest_live_05-A000149;latest_live_05-A000150;latest_live_05-A000151,passed
latest_live_05,latest_live_05-SEM0034-000000977810,977810,991930,7.17,120,1360,0.280887,-11.09,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000152;latest_live_05-A000153;latest_live_05-A000154;latest_live_05-A000155,passed
latest_live_05,latest_live_05-SEM0035-000000992010,992010,1002250,6.24,80,520,0.250211,-12.05,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000156;latest_live_05-A000157;latest_live_05-A000158;latest_live_05-A000159,passed
latest_live_05,latest_live_05-SEM0036-000001002610,1002610,1013310,6.96,240,580,0.261322,-11.67,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000160;latest_live_05-A000161;latest_live_05-A000162;latest_live_05-A000163,passed
latest_live_05,latest_live_05-SEM0037-000001013590,1013590,1035150,5.59,240,800,0.25254,-12.12,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000164;latest_live_05-A000165;latest_live_05-A000166;latest_live_05-A000167,passed
latest_live_05,latest_live_05-SEM0038-000001035720,1035720,1050200,7.16,80,640,0.257169,-11.81,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000168;latest_live_05-A000169;latest_live_05-A000170;latest_live_05-A000171;latest_live_05-A000172;latest_live_05-A000173;latest_live_05-A000174,passed
latest_live_05,latest_live_05-SEM0039-000001050520,1050520,1073170,6.08,280,450,0.273529,-11.28,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000175;latest_live_05-A000176;latest_live_05-A000177;latest_live_05-A000178,passed
latest_live_05,latest_live_05-SEM0040-000001073530,1073530,1088130,7.07,200,360,0.283685,-10.95,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000179;latest_live_05-A000180;latest_live_05-A000181;latest_live_05-A000182,passed
latest_live_05,latest_live_05-SEM0041-000001088370,1088370,1101890,7.47,200,840,0.310561,-10.19,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000183;latest_live_05-A000184;latest_live_05-A000185;latest_live_05-A000186,passed
latest_live_05,latest_live_05-SEM0042-000001102130,1102130,1121890,5.69,120,440,0.264221,-11.61,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000187;latest_live_05-A000188;latest_live_05-A000189;latest_live_05-A000190,passed
latest_live_05,latest_live_05-SEM0043-000001122210,1122210,1181700,6.14,160,440,0.25719,-11.85,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000191;latest_live_05-A000192;latest_live_05-A000193;latest_live_05-A000194;latest_live_05-A000195;latest_live_05-A000196;latest_live_05-A000197,passed
latest_live_05,latest_live_05-SEM0044-000001182020,1182020,1200010,7.44,240,390,0.296368,-10.59,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000198;latest_live_05-A000199;latest_live_05-A000200;latest_live_05-A000201,passed
latest_live_05,latest_live_05-SEM0045-000001200290,1200290,1263810,6.69,80,360,0.266703,-11.5,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000202;latest_live_05-A000203;latest_live_05-A000204;latest_live_05-A000205;latest_live_05-A000206;latest_live_05-A000207;latest_live_05-A000208;latest_live_05-A000209;latest_live_05-A000210;latest_live_05-A000211;latest_live_05-A000212;latest_live_05-A000213,passed
latest_live_05,latest_live_05-SEM0046-000001264140,1264140,1284500,6.42,240,440,0.270057,-11.38,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000214;latest_live_05-A000215;latest_live_05-A000216;latest_live_05-A000217,passed
latest_live_05,latest_live_05-SEM0047-000001284860,1284860,1301770,6.46,280,320,0.275537,-11.22,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000218;latest_live_05-A000219;latest_live_05-A000220;latest_live_05-A000221,passed
latest_live_05,latest_live_05-SEM0048-000001302050,1302050,1328070,6.23,240,360,0.270608,-11.38,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000222;latest_live_05-A000223;latest_live_05-A000224;latest_live_05-A000225,passed
latest_live_05,latest_live_05-SEM0049-000001328150,1328150,1346550,6.49,80,400,0.2618,-11.68,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000226;latest_live_05-A000227;latest_live_05-A000228;latest_live_05-A000229,passed
latest_live_05,latest_live_05-SEM0050-000001346950,1346950,1390210,5.42,320,560,0.248768,-12.1,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000230;latest_live_05-A000231;latest_live_05-A000232;latest_live_05-A000233,passed
latest_live_05,latest_live_05-SEM0051-000001390450,1390450,1409650,7.55,40,360,0.281737,-11.0,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000234;latest_live_05-A000235;latest_live_05-A000236;latest_live_05-A000237,passed
latest_live_05,latest_live_05-SEM0052-000001409770,1409770,1424640,6.1,80,470,0.271201,-11.36,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000238;latest_live_05-A000239;latest_live_05-A000240;latest_live_05-A000241,passed
latest_live_05,latest_live_05-SEM0053-000001424920,1424920,1442050,6.89,120,1170,0.266976,-11.48,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000242;latest_live_05-A000243;latest_live_05-A000244;latest_live_05-A000245;latest_live_05-A000246;latest_live_05-A000247,passed
latest_live_05,latest_live_05-SEM0054-000001442370,1442370,1459270,6.39,320,980,0.283002,-10.97,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000248;latest_live_05-A000249;latest_live_05-A000250;latest_live_05-A000251,passed
