call_id,session_id,provider,model,modality,task_id,request_at,result_at,input_hash,output_hash,status,retry_count,local_raw_ref,git_safe_note
latest_live_01-QW0012,latest_live_01,Alibaba DashScope,qwen-vl-plus,qwen_vl_video_window,,2026-07-23T16:00:16+08:00,2026-07-23T16:00:16+08:00,061e62da469a,6c97572544fd79dccec5aa5a2bd67e64db80bb5aff0f5c2b30d06ab3594b5fa9,connected,0,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0012_qwen-vl-plus.json,hash_and_redacted_ref_only_raw_local_not_committed
latest_live_01-QW0013,latest_live_01,Alibaba DashScope,qwen-vl-plus,qwen_vl_video_window,,2026-07-23T16:00:22+08:00,2026-07-23T16:00:22+08:00,851c0b382ae6,f333d7752734125d0bbfd05dd35861a36a8af4a32636b148fdfb55fe923a9e11,connected,0,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0013_qwen-vl-plus.json,hash_and_redacted_ref_only_raw_local_not_committed
latest_live_01-QW0014,latest_live_01,Alibaba DashScope,qwen-vl-plus,qwen_vl_video_window,,2026-07-23T16:00:28+08:00,2026-07-23T16:00:28+08:00,1eeee523397a,d6379ad941f17eef3bf83b40ce8cd96faa82bd022d17f915278a9a83babe2b35,connected,0,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0014_qwen-vl-plus.json,hash_and_redacted_ref_only_raw_local_not_committed
latest_live_01-QW0015,latest_live_01,Alibaba DashScope,qwen-vl-plus,qwen_vl_video_window,,2026-07-23T16:00:36+08:00,2026-07-23T16:00:36+08:00,20ed25116a00,a7ea023e4e9e086f5b68d72e171cd7d2259ac1b31b1422c4777eb1b221df4d14,connected,0,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0015_qwen-vl-plus.json,hash_and_redacted_ref_only_raw_local_not_committed
latest_live_01-QW0016,latest_live_01,Alibaba DashScope,qwen-vl-plus,qwen_vl_video_window,,2026-07-23T16:00:44+08:00,2026-07-23T16:00:44+08:00,ded8ee2d6201,7ccccfc869f0398b2ada42603af9313e1d22c68f437248f197bf38a7ee2111a4,connected,0,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0016_qwen-vl-plus.json,hash_and_redacted_ref_only_raw_local_not_committed
latest_live_01-QW0017,latest_live_01,Alibaba DashScope,qwen-vl-plus,qwen_vl_video_window,,2026-07-23T16:00:50+08:00,2026-07-23T16:00:50+08:00,aabdb96d8616,8fa215f3eb75f6b8944020ec2efaebdedb8178093b6a00ee7a7cc63b061db1da,connected,0,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0017_qwen-vl-plus.json,hash_and_redacted_ref_only_raw_local_not_committed
latest_live_01-QW0018,latest_live_01,Alibaba DashScope,qwen-vl-plus,qwen_vl_video_window,,2026-07-23T16:00:55+08:00,2026-07-23T16:00:55+08:00,9d0c4e751a63,d5cf0133232b672470c9315a087fbd4743be55467b79df602089a06051e01589,connected,0,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0018_qwen-vl-plus.json,hash_and_redacted_ref_only_raw_local_not_committed
latest_live_01-QW0019,latest_live_01,Alibaba DashScope,qwen-vl-plus,qwen_vl_video_window,,2026-07-23T16:01:00+08:00,2026-07-23T16:01:00+08:00,29269412ab67,7c98c2060c37173ce364cf65c42b09ed4dbb9248a9c69dcb5fab12994004c4ab,connected,0,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0019_qwen-vl-plus.json,hash_and_redacted_ref_only_raw_local_not_committed
latest_live_01-QW0020,latest_live_01,Alibaba DashScope,qwen3-vl-plus,qwen_vl_video_window,,2026-07-23T16:01:29+08:00,2026-07-23T16:01:29+08:00,626dc50a6f35,fc383f58605d918c5209ec18ef9a51713ec13c9459bb142ca6e10bed4deab1a4,connected,0,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0020_qwen3-vl-plus.json,hash_and_redacted_ref_only_raw_local_not_committed
latest_live_02-QW0001,latest_live_02,Alibaba DashScope,qwen-vl-plus,qwen_vl_video_window,,2026-07-23T16:04:25+08:00,2026-07-23T16:04:25+08:00,36c2413f9e0b,2ae170df4e6a759cc63992fe001d5da6595d8a0e99b575d1244d5a50d86ba679,connected,0,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_02/api_raw/latest_live_02_vision_0001_qwen-vl-plus.json,hash_and_redacted_ref_only_raw_local_not_committed
